id,team1Id,team2Id,matchDate,matchTime,category,scoreTeam1,scoreTeam2,status,game,round,venue,winner,createdOn,updatedOn
1,Virgo,Sagittarius,2025-03-12,1:00 PM,Volleyball (Men),2,0,Completed,1,1,COVERED COURT,team1,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
2,Pisces,Capricorn,2025-03-12,1:00 PM,Volleyball (Men),,,Scheduled,2,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
3,Libra,Taurus,2025-03-12,1:00 PM,Volleyball (Men),,,Scheduled,3,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
4,Scorpio,Leo,2025-03-12,1:00 PM,Volleyball (Men),,,Scheduled,4,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
5,Scorpio,Capricorn,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,1,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
6,Virgo,Libra,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,2,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
7,Sagittarius,Leo,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,3,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
8,Pisces,Taurus,2025-03-12,1:00 PM,Volleyball (Women),,,Scheduled,4,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
9,Virgo,Capricorn,2025-03-13,10:00 AM,Volleyball (Men),,,Scheduled,5,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
10,Pisces,Sagittarius,2025-03-13,10:00 AM,Volleyball (Men),,,Scheduled,6,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
11,Libra,Leo,2025-03-13,TBA,Volleyball (Men),,,Scheduled,7,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
12,Scorpio,Taurus,2025-03-13,TBA,Volleyball (Men),,,Scheduled,8,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
13,Scorpio,Libra,2025-03-13,TBA,Volleyball (Women),,,Scheduled,5,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
14,Virgo,Capricorn,2025-03-13,TBA,Volleyball (Women),,,Scheduled,6,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
15,Sagittarius,Taurus,2025-03-13,TBA,Volleyball (Women),,,Scheduled,7,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
16,Pisces,Leo,2025-03-13,TBA,Volleyball (Women),,,Scheduled,8,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
17,Virgo,Pisces,2025-03-13,TBA,Volleyball (Men),,,Scheduled,9,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
18,Sagittarius,Capricorn,2025-03-13,TBA,Volleyball (Men),,,Scheduled,10,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
19,Scorpio,Virgo,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,9,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
20,Capricorn,Libra,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,10,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
21,Leo,Taurus,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,11,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
22,Sagittarius,Pisces,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,12,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
23,Taurus,Leo,2025-03-14,10:00 AM,Volleyball (Men),,,Scheduled,11,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
24,Libra,Scorpio,2025-03-14,10:00 AM,Volleyball (Men),,,Scheduled,12,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
25,TBD,TBD,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,13,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
26,TBD,TBD,2025-03-14,10:00 AM,Volleyball (Women),,,Scheduled,14,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
27,TBD,TBD,2025-03-14,10:00 AM,Volleyball (Men),,,Scheduled,13,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
28,TBD,TBD,2025-03-14,10:00 AM,Volleyball (Men),,,Scheduled,14,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
29,TBD,TBD,2025-03-15,8:00 AM,Volleyball (Women),,,Scheduled,15,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
30,TBD,TBD,2025-03-15,8:00 AM,Volleyball (Women),,,Scheduled,16,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
31,TBD,TBD,2025-03-15,8:00 AM,Volleyball (Men),,,Scheduled,15,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
32,TBD,TBD,2025-03-15,8:00 AM,Volleyball (Men),,,Scheduled,16,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
33,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
34,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
35,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
36,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
37,TBD,TBD,2025-03-12,7:30 AM,Table Tennis (Men),,,Scheduled,5,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
38,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,6,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
39,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,7,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
40,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,8,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
41,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,9,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
42,TBD,TBD,2025-03-13,1:00 PM,Table Tennis (Men),,,Scheduled,10,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
43,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,11,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
44,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,12,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
45,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,13,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
46,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,14,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
47,TBD,TBD,2025-03-14,1:00 PM,Table Tennis (Men),,,Scheduled,15,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
48,Scorpio,Leo,2025-03-12,3:00 PM,Badminton (Men),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
49,Sagittarius,Virgo,2025-03-12,4:00 PM,Badminton (Men),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
50,Taurus,Capricorn,2025-03-12,3:00 PM,Badminton (Women),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
51,Sagittarius,Scorpio,2025-03-12,4:00 PM,Badminton (Women),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
52,Capricorn,Libra,2025-03-12,3:00 PM,Badminton (Men),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
53,Taurus,Pisces,2025-03-12,4:00 PM,Badminton (Men),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
54,Virgo,Pisces,2025-03-12,3:00 PM,Badminton (Women),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
55,Libra,Leo,2025-03-12,4:00 PM,Badminton (Women),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
56,TBD,TBD,2025-03-13,7:30 AM,Badminton (Men),,,Scheduled,5,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
57,TBD,TBD,2025-03-13,8:30 AM,Badminton (Men),,,Scheduled,6,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
58,TBD,TBD,2025-03-13,9:30 AM,Badminton (Men),,,Scheduled,7,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
59,TBD,TBD,2025-03-13,10:30 AM,Badminton (Men),,,Scheduled,8,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
60,TBD,TBD,2025-03-13,12:30 AM,Badminton (Men),,,Scheduled,9,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
61,TBD,TBD,2025-03-13,1:30 PM,Badminton (Men),,,Scheduled,10,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
62,TBD,TBD,2025-03-13,2:30 PM,Badminton (Men),,,Scheduled,11,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
63,TBD,TBD,2025-03-13,3:30 PM,Badminton (Men),,,Scheduled,12,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
64,TBD,TBD,2025-03-13,4:30 PM,Badminton (Men),,,Scheduled,13,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
65,TBD,TBD,2025-03-13,TBA,Badminton (Men),,,Scheduled,CHAMPIONSHIP,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
66,TBD,TBD,2025-03-13,7:30 AM,Badminton (Women),,,Scheduled,5,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
67,TBD,TBD,2025-03-13,8:30 AM,Badminton (Women),,,Scheduled,6,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
68,TBD,TBD,2025-03-13,9:30 AM,Badminton (Women),,,Scheduled,7,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
69,TBD,TBD,2025-03-13,10:30 AM,Badminton (Women),,,Scheduled,8,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
70,TBD,TBD,2025-03-13,12:30 AM,Badminton (Women),,,Scheduled,9,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
71,TBD,TBD,2025-03-13,1:30 PM,Badminton (Women),,,Scheduled,10,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
72,TBD,TBD,2025-03-13,2:30 PM,Badminton (Women),,,Scheduled,11,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
73,TBD,TBD,2025-03-13,3:30 PM,Badminton (Women),,,Scheduled,12,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
74,TBD,TBD,2025-03-13,4:30 PM,Badminton (Women),,,Scheduled,13,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
75,TBD,TBD,2025-03-13,TBA,Badminton (Women),,,Scheduled,CHAMPIONSHIP,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
76,TBD,TBD,2025-03-13,6:30 AM,Futsal (Women),,,Scheduled,1,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
77,TBD,TBD,2025-03-13,6:57 AM,Futsal (Men),,,Scheduled,2,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
78,TBD,TBD,2025-03-13,7:24 AM,Futsal (Women),,,Scheduled,3,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
79,TBD,TBD,2025-03-13,7:51 AM,Futsal (Men),,,Scheduled,4,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
80,TBD,TBD,2025-03-13,8:18 AM,Futsal (Women),,,Scheduled,5,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
81,TBD,TBD,2025-03-13,8:45 AM,Futsal (Men),,,Scheduled,6,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
82,TBD,TBD,2025-03-13,9:12 AM,Futsal (Women),,,Scheduled,7,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
83,TBD,TBD,2025-03-13,9:44 AM,Futsal (Men),,,Scheduled,8,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
84,TBD,TBD,2025-03-14,6:30 AM,Futsal (Women),,,Scheduled,1,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
85,TBD,TBD,2025-03-14,6:57 AM,Futsal (Men),,,Scheduled,2,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
86,TBD,TBD,2025-03-14,7:24 AM,Futsal (Women),,,Scheduled,3,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
87,TBD,TBD,2025-03-14,7:51 AM,Futsal (Men),,,Scheduled,4,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
88,TBD,TBD,2025-03-14,8:18 AM,Futsal (Women),,,Scheduled,CHAMPIONSHIP,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
89,TBD,TBD,2025-03-14,8:45 AM,Futsal (Men),,,Scheduled,CHAMPIONSHIP,1,COVERED COURT,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
90,Scorpio,Taurus,2025-03-14,8:00 AM,Sepak Takraw (Men),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
91,Virgo,Sagittarius,2025-03-14,8:00 AM,Sepak Takraw (Women),,,Scheduled,1,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
92,Capricorn,Pisces,2025-03-14,10:00 AM,Sepak Takraw (Men),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
93,Libra,Leo,2025-03-14,10:00 AM,Sepak Takraw (Women),,,Scheduled,2,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
94,TBD,TBD,2025-03-15,8:00 AM,Sepak Takraw (Men),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
95,TBD,TBD,2025-03-15,8:00 AM,Sepak Takraw (Women),,,Scheduled,3,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
96,TBD,TBD,2025-03-15,10:00 AM,Sepak Takraw (Men),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
97,TBD,TBD,2025-03-15,10:00 AM,Sepak Takraw (Women),,,Scheduled,4,1,GYNASIUM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
98,Pisces,Sagittarius,2025-03-13,1:00 PM,Chess (Men),,,Scheduled,1,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
99,Scorpio,Virgo,2025-03-13,1:00 PM,Chess (Men),,,Scheduled,2,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
100,Capricorn,Taurus,2025-03-13,1:00 PM,Chess (Men),,,Scheduled,3,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
101,Leo,Libra,2025-03-13,1:00 PM,Chess (Men),,,Scheduled,4,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
102,Leo,Libra,2025-03-13,1:00 PM,Chess (Women),,,Scheduled,1,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
103,Virgo,Scorpio,2025-03-13,1:00 PM,Chess (Women),,,Scheduled,2,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
104,Pisces,Taurus,2025-03-13,1:00 PM,Chess (Women),,,Scheduled,3,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
105,Sagittarius,Capricorn,2025-03-13,1:00 PM,Chess (Women),,,Scheduled,4,1,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
106,Sagittarius,Libra,2025-03-13,2:00 PM,Chess (Men),,,Scheduled,1,2,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
107,Taurus,Leo,2025-03-13,2:00 PM,Chess (Men),,,Scheduled,2,2,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
